CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,OWNSHP_CNT,PUB_SCH,SEP_SCH,PUBSEP_SCH,OTHER_SCH,UNKNWN_SCH,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,OTHER_CNT,OTHER_0_4,OTHER_5_14,OTHER_15_19,OTHER_20_24,OTHER_25_34,OTHER_35_44,OTHER_45_54,OTHER_55_64,OTHER_65_74,OTHER_75
Industrial,2,ST1,STONEY 1,NORTH,N/A,EMPLOYMENT,2019,,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,MCK,MCKENZIE LAKE,SOUTHEAST,BUILT-OUT,1980s/1990s,2019,,13406,4661,838,4117,2414,1122,435,152,538,4234,24,0,0,379,0,24,0,0,0,0,0,0,0,6735,6628,315,972,567,481,633,843,1102,1144,513,165,298,833,508,424,675,916,1188,1134,474,178,613,1805,1075,905,1314,1767,2299,2284,987,343,29,0,0,0,0,6,8,9,6,0,0
Residual Sub Area,4,13H,13H,SOUTH,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,CHR,CHRISTIE PARK,WEST,BUILT-OUT,1980s/1990s,2019,,2128,727,40,653,402,123,62,44,95,475,94,0,0,156,0,0,0,0,0,2,0,0,0,1006,1115,32,105,74,58,70,99,112,177,148,131,36,105,57,67,73,99,137,196,148,197,68,210,131,125,143,198,249,373,296,328,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,FLI,FOREST LAWN INDUSTRIAL,EAST,N/A,EMPLOYMENT,2019,,123,62,0,47,35,11,0,0,12,0,0,0,0,0,60,0,0,0,0,0,1,1,0,79,20,0,0,0,7,9,14,16,16,11,6,0,0,0,0,0,6,0,8,6,0,0,0,0,7,9,20,16,24,17,6,0,0,0,0,0,0,0,0,0,0,0
Residential,1,MAL,MAYLAND HEIGHTS,NORTHEAST,BUILT-OUT,1960s/1970s,2019,,5961,2783,484,1325,1296,397,124,94,871,1292,328,21,622,284,0,234,0,0,1,0,0,1,0,2992,2960,197,316,106,201,492,506,394,417,208,155,186,294,102,159,547,437,342,427,219,247,383,610,208,360,1039,943,736,844,427,402,0,0,0,0,0,0,0,0,0,0,0
Residential,1,MLR,MILLRISE,SOUTH,BUILT-OUT,1980s/1990s,2019,,6900,2649,532,1977,1210,714,205,72,446,1703,107,0,533,272,0,33,0,0,0,1,0,0,0,3303,3584,188,414,181,198,423,511,471,479,282,156,220,403,173,169,455,510,556,533,333,232,408,817,354,367,878,1021,1027,1012,615,388,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SSW,SCARBORO/ SUNALTA WEST,CENTRE,BUILT-OUT,1950s,2019,,401,167,0,131,88,24,9,14,32,163,0,0,0,0,0,4,0,0,0,0,0,0,0,204,189,10,35,10,0,17,28,42,30,18,14,10,25,8,7,13,34,35,26,16,15,20,60,18,7,30,62,77,56,34,29,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,02L,02L,NORTH,N/A,OTHER,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,LIV,LIVINGSTON,NORTH,DEVELOPING,BUILDING OUT,2019,,1477,838,108,474,236,78,47,19,458,564,102,0,59,109,0,4,0,0,0,0,0,0,0,719,687,71,79,24,48,212,145,56,51,24,9,68,62,26,33,209,131,61,58,30,9,139,149,56,81,449,291,117,109,54,18,57,0,8,6,0,28,15,0,0,0,0
Residential,1,QLD,QUEENSLAND,SOUTH,BUILT-OUT,1960s/1970s,2019,,4743,1905,271,1433,1066,293,92,47,407,1174,216,0,60,391,0,64,0,0,0,0,0,0,0,2401,2323,129,264,120,126,402,392,307,353,200,108,125,253,117,105,361,343,307,366,223,123,254,517,237,231,763,735,614,719,423,231,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,STD,STARFIELD,EAST,N/A,EMPLOYMENT,2019,,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,DAL,DALHOUSIE,NORTHWEST,BUILT-OUT,1960s/1970s,2019,,8940,3742,555,2202,2249,496,207,104,686,1931,308,0,861,570,0,71,0,1,0,0,0,0,0,4427,4453,205,567,257,368,688,651,490,506,378,317,213,508,216,309,643,649,497,559,455,404,418,1084,481,684,1342,1307,987,1072,833,721,49,0,9,8,7,11,7,0,7,0,0
Residential,1,LMR,LOWER MOUNT ROYAL,CENTRE,BUILT-OUT,INNER CITY,2019,,3457,2430,54,536,1071,157,217,54,931,52,22,6,2220,102,0,26,0,0,0,1,0,1,0,1780,1669,39,27,14,119,671,431,186,154,100,39,42,30,18,128,688,327,176,129,81,50,81,57,32,247,1359,758,362,283,181,89,0,0,0,0,0,0,0,0,0,0,0
Residential,1,ROX,ROXBORO,CENTRE,BUILT-OUT,INNER CITY,2019,,422,154,6,142,99,9,18,11,17,154,0,0,0,0,0,0,0,0,0,0,0,0,0,226,196,13,32,20,12,10,24,35,45,22,13,12,30,7,8,10,32,26,37,21,13,25,62,27,20,20,56,61,82,43,26,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,02K,02K,NORTH,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,UND,UNIVERSITY DISTRICT,NORTHWEST,BUILT-OUT,OTHER,2019,,705,329,114,30,157,9,6,8,149,0,0,1,16,312,0,0,0,0,0,0,0,0,0,359,336,50,107,9,0,57,102,22,12,0,0,45,81,6,10,86,85,13,10,0,0,95,188,15,10,143,187,35,22,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,RUT,RUTLAND PARK,WEST,BUILT-OUT,1950s,2019,,2263,978,110,341,576,144,40,27,190,310,45,0,95,491,0,36,0,0,0,1,0,0,0,1091,1168,75,124,44,67,126,175,144,124,102,110,46,105,47,47,121,176,154,129,181,162,121,229,91,114,247,351,298,253,283,272,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,HOR,HORIZON,NORTHEAST,N/A,EMPLOYMENT,2019,,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,CIA,CALGARY INTERNATIONAL AIRPORT,NORTHEAST,N/A,OTHER,2019,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,01K,01K,NORTHWEST,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,HSN,HASKAYNE,NORTHWEST,DEVELOPING,BUILDING OUT,2019,,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,CRA,CRANSTON,SOUTHEAST,DEVELOPING,BUILDING OUT,2019,,19884,7141,2068,5933,3449,1697,829,257,907,5332,376,0,678,739,0,16,0,0,0,0,0,0,0,9874,9970,806,1759,534,369,1380,1933,1433,930,553,177,744,1717,524,381,1521,2020,1315,968,610,170,1550,3476,1058,750,2908,3953,2748,1898,1163,347,7,0,0,0,0,7,0,0,0,0,0
Residential,1,SET,SETON,SOUTHEAST,DEVELOPING,BUILDING OUT,2019,,1134,973,33,137,217,71,18,10,656,148,73,2,614,128,2,2,0,0,0,1,1,2,0,480,648,30,27,17,28,103,67,27,62,56,63,27,29,19,44,115,60,35,97,100,122,57,56,36,72,218,127,62,159,156,185,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,13J,13J,SOUTH,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,MAH,MAHOGANY,SOUTHEAST,DEVELOPING,BUILDING OUT,2019,,11784,4507,1842,3465,1790,1085,403,190,1037,2901,400,0,913,268,0,5,0,0,0,20,0,0,0,5827,5926,746,1065,203,151,1077,1404,595,311,193,82,662,1006,214,193,1297,1364,519,337,236,98,1408,2071,417,344,2384,2778,1114,648,429,180,20,0,0,0,0,10,10,0,0,0,0
Residential,1,RVW,RANGEVIEW,SOUTHEAST,DEVELOPING,BUILDING OUT,2019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SDC,SUNDANCE,SOUTH,BUILT-OUT,1980s/1990s,2019,,9736,3424,497,2959,2087,647,266,115,309,3067,74,0,100,152,0,31,0,0,0,0,0,0,0,4834,4885,193,657,352,337,455,587,638,961,498,156,203,615,369,314,392,604,738,999,455,196,396,1272,721,651,847,1191,1376,1960,953,352,0,0,0,0,0,0,0,0,0,0,0
Major Park,3,FPK,FISH CREEK PARK,SOUTH,N/A,PARKS,2019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,NHU,NORTH HAVEN UPPER,NORTH,BUILT-OUT,1960s/1970s,2019,,599,246,12,225,163,42,15,7,19,245,0,0,0,0,0,1,0,0,0,0,0,0,0,309,286,17,27,14,15,37,33,37,69,32,28,9,30,13,12,28,34,37,65,33,25,26,57,27,27,65,67,74,134,65,53,0,0,0,0,0,0,0,0,0,0,0
Residential,1,COA,COACH HILL,WEST,BUILT-OUT,1980s/1990s,2019,,3244,1482,188,1163,808,229,93,65,283,634,101,1,237,508,0,1,0,0,0,0,0,0,0,1512,1711,75,200,64,67,173,244,197,210,198,84,102,172,65,64,193,304,221,263,199,128,177,372,129,131,366,555,418,473,397,212,7,0,0,0,0,0,7,0,0,0,0
Residential,1,WND,WINDSOR PARK,CENTRE,BUILT-OUT,1950s,2019,,4584,2466,227,887,1017,235,181,44,989,328,360,60,1528,92,0,92,3,0,1,0,0,2,0,2235,2337,95,160,76,117,531,458,286,264,151,97,110,157,84,129,515,432,300,271,188,151,205,317,160,246,1046,890,586,535,339,248,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SCE,SCENIC ACRES,NORTHWEST,BUILT-OUT,0,2019,,8067,2928,376,2708,1545,783,206,86,308,2666,162,0,0,75,0,11,0,0,0,1,13,0,0,3974,4067,174,430,266,296,337,432,512,797,481,249,137,363,241,252,340,449,593,873,461,358,311,793,507,548,677,881,1105,1678,942,607,8,0,0,0,0,0,0,0,8,0,0
Residential,1,RUN,RUNDLE,NORTHEAST,BUILT-OUT,1960s/1970s,2019,,11688,3834,1024,2171,1848,646,236,109,995,2218,174,0,0,1111,0,330,1,0,0,0,0,0,0,5975,5696,402,826,413,406,854,1013,720,655,470,216,398,789,327,457,872,867,650,633,487,216,800,1615,740,863,1726,1888,1370,1288,957,432,8,0,0,0,0,0,8,0,0,0,0
Industrial,2,SAW,SOUTH AIRWAYS,NORTHEAST,N/A,EMPLOYMENT,2019,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,PEG,PEGASUS,NORTHEAST,N/A,EMPLOYMENT,2019,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,DDG,DOUGLASDALE/GLEN,SOUTHEAST,BUILT-OUT,1980s/1990s,2019,,12881,4945,822,4167,2693,1017,443,134,656,3938,144,0,550,306,0,3,0,0,4,0,0,0,0,6459,6388,356,688,388,401,715,887,992,1097,654,281,327,650,396,356,703,911,1062,1062,656,265,683,1338,784,757,1424,1798,2054,2159,1310,546,6,0,0,0,0,6,0,0,0,0,0
Residential,1,MEA,MEADOWLARK PARK,CENTRE,BUILT-OUT,1950s,2019,,644,287,0,217,170,29,20,0,64,280,0,0,0,0,0,7,0,0,0,0,0,0,0,323,315,17,35,9,12,43,63,49,46,34,15,18,29,13,0,41,46,62,50,34,22,35,64,22,12,84,109,111,96,68,37,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,SKW,SKYLINE WEST,NORTH,N/A,EMPLOYMENT,2019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,13A,13A,SOUTH,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,09P,09P,EAST,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,06C,06C,WEST,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,CHN,CHINATOWN,CENTRE,BUILT-OUT,CENTRE CITY,2019,,2471,1989,21,378,838,72,78,24,974,0,0,0,1967,7,0,1,14,0,0,0,0,0,0,1205,1250,26,17,16,48,268,322,131,107,94,176,23,20,7,48,256,243,115,113,107,318,49,37,23,96,524,571,246,220,201,494,6,0,0,0,0,0,6,0,0,0,0
Residual Sub Area,4,05F,05F,NORTHEAST,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,WGT,WESTGATE,WEST,BUILT-OUT,1950s,2019,,3202,1343,212,874,749,221,112,62,199,918,50,0,141,187,0,46,0,0,0,0,0,1,0,1547,1648,94,184,87,73,243,262,171,225,138,70,106,170,59,83,229,258,207,247,165,124,200,354,146,156,472,520,378,472,303,194,0,0,0,0,0,0,0,0,0,0,0
Residential,1,GDL,GLENDALE,WEST,BUILT-OUT,1950s,2019,,2765,1128,149,819,631,169,73,59,196,959,0,5,108,24,0,32,0,0,0,0,0,0,0,1365,1397,75,165,80,75,185,204,158,226,123,74,99,161,78,73,194,195,181,217,111,88,174,326,158,148,379,399,339,443,234,162,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,06B,06B,WEST,N/A,OTHER,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,KIN,KINGSLAND,SOUTH,BUILT-OUT,1950s,2019,,4688,2422,400,707,943,283,103,40,1044,654,199,5,1288,184,0,89,1,0,0,1,0,1,0,2389,2292,175,207,85,115,473,486,315,321,143,69,151,216,83,149,430,460,245,280,152,126,326,423,168,264,903,946,560,601,295,195,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SIL,SILVER SPRINGS,NORTHWEST,BUILT-OUT,1960s/1970s,2019,,8679,3563,621,2791,2121,643,238,102,459,2547,209,0,241,546,0,20,0,0,0,0,0,0,0,4280,4378,247,552,237,236,429,580,547,656,519,277,235,481,211,214,434,605,571,736,616,275,482,1033,448,456,863,1185,1118,1392,1135,552,6,0,0,0,6,0,0,0,0,0,0
Residential,1,HKS,HOTCHKISS,SOUTHEAST,DEVELOPING,2000s,2019,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,HSD,HOMESTEAD,NORTHEAST,DEVELOPING,BUILDING OUT,2019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,05G,05G,NORTHEAST,N/A,OTHER,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,02C,02C,NORTH,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,03W,03W,NORTH,N/A,OTHER,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,02B,02B,NORTH,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,PAT,PATTERSON,WEST,BUILT-OUT,1980s/1990s,2019,,4202,2034,281,1412,1051,306,117,102,458,573,168,0,669,624,0,0,0,0,0,0,0,0,0,1978,2216,109,207,90,87,225,319,230,303,261,147,113,204,79,91,239,334,316,367,293,180,222,411,169,178,464,653,546,670,554,327,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SGH,SAGE HILL,NORTH,DEVELOPING,BUILDING OUT,2019,,7924,3172,1089,2321,1392,538,206,105,928,1614,99,97,625,733,0,3,0,0,0,1,0,0,0,3802,4092,418,548,149,150,848,819,407,232,148,83,415,575,163,175,968,822,400,291,198,85,833,1131,312,325,1816,1650,807,523,346,168,17,0,8,0,0,0,9,0,0,0,0
Residential,1,NOL,NOLAN HILL,NORTH,DEVELOPING,BUILDING OUT,2019,,7505,2468,972,2145,1289,458,198,114,409,1784,1,0,0,677,0,6,0,0,0,0,0,0,0,3728,3750,395,632,247,168,751,733,484,194,105,19,377,600,209,148,804,817,437,222,107,29,772,1232,456,316,1555,1550,921,416,212,48,0,0,0,0,0,0,0,0,0,0,0
Residential,1,EVN,EVANSTON,NORTH,DEVELOPING,BUILDING OUT,2019,,17685,5686,2483,4631,2427,1265,518,324,1146,4302,363,0,68,922,0,27,0,0,0,4,0,0,0,8747,8841,957,1633,446,309,1497,1953,1021,506,259,166,864,1521,368,330,1725,1946,921,553,341,272,1831,3170,814,639,3242,3919,1949,1070,606,438,90,10,16,0,0,20,20,7,11,6,0
Residual Sub Area,4,13I,13I,SOUTH,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,CAR,CARRINGTON,NORTH,DEVELOPING,BUILDING OUT,2019,,572,452,29,151,91,29,19,10,303,264,141,0,0,47,0,0,0,0,0,0,0,0,0,282,275,30,47,15,14,59,61,25,19,12,0,30,33,9,16,65,57,30,21,7,7,60,80,24,30,124,127,55,40,19,7,9,0,0,0,0,0,9,0,0,0,0
Residual Sub Area,4,12C,12C,SOUTHEAST,N/A,OTHER,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,12L,12L,SOUTHEAST,N/A,OTHER,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,S23,SECTION 23,SOUTHEAST,N/A,EMPLOYMENT,2019,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,FLN,FOREST LAWN,EAST,BUILT-OUT,1950s,2019,,7814,3425,564,923,1773,418,135,43,1054,1375,342,16,228,767,0,674,0,18,3,0,1,1,0,4244,3559,233,500,224,219,605,759,688,635,252,129,220,467,189,218,556,625,459,431,215,179,453,967,413,437,1161,1384,1147,1066,467,308,0,0,0,0,0,0,0,0,0,0,0
Residential,1,DRG,DEER RIDGE,SOUTH,BUILT-OUT,1980s/1990s,2019,,3973,1510,414,1064,794,329,115,38,232,857,139,0,0,494,0,19,0,0,0,1,0,0,0,1901,2059,136,259,113,106,258,319,232,225,181,72,133,249,91,93,287,332,277,275,194,128,269,508,204,199,545,651,509,500,375,200,0,0,0,0,0,0,0,0,0,0,0
Residential,1,MDH,MEDICINE HILL,WEST,BUILT-OUT,2000s,2019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,HAY,HAYSBORO,SOUTH,BUILT-OUT,1950s,2019,,7080,3655,550,1834,1708,400,230,76,1240,1817,0,0,1774,9,0,55,0,0,0,0,0,0,0,3499,3558,210,280,123,181,673,641,449,488,280,174,222,312,117,186,623,573,452,529,274,270,432,592,240,367,1296,1224,901,1017,554,444,10,0,0,0,0,0,10,0,0,0,0
Residential,1,ERL,ERLTON,CENTRE,BUILT-OUT,INNER CITY,2019,,1270,733,15,433,314,67,57,20,275,126,51,2,399,110,0,44,0,0,1,0,0,0,0,650,617,22,27,11,18,171,117,104,102,61,17,27,24,11,17,163,108,85,93,63,26,49,51,22,35,334,225,189,195,124,43,0,0,0,0,0,0,0,0,0,0,0
Residential,1,HAR,HARVEST HILLS,NORTH,BUILT-OUT,1980s/1990s,2019,,7420,2705,445,2106,1221,707,265,82,430,2118,129,0,168,252,1,36,0,0,0,1,0,0,0,3699,3688,169,458,270,323,399,468,644,568,269,131,171,415,225,247,394,520,685,538,322,171,340,880,495,570,800,996,1335,1106,591,302,28,0,7,0,0,7,8,6,0,0,0
Industrial,2,AYB,ALYTH/BONNYBROOK,CENTRE,N/A,EMPLOYMENT,2019,,0,11,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,BDO,BONAVISTA DOWNS,SOUTH,BUILT-OUT,1960s/1970s,2019,,928,378,15,292,176,69,29,8,96,368,0,0,0,0,0,10,0,0,0,0,0,0,0,488,437,31,49,22,20,66,100,63,66,46,25,28,45,12,15,61,84,59,75,37,21,59,94,34,35,127,184,122,141,83,46,0,0,0,0,0,0,0,0,0,0,0
Residential,1,MRT,MARTINDALE,NORTHEAST,BUILT-OUT,1980s/1990s,2019,,14245,4270,1098,2679,2176,343,122,82,1547,3553,52,0,0,166,0,499,0,0,0,0,0,0,0,7479,6721,484,1205,482,574,1181,1339,1023,710,395,86,378,895,380,429,1000,1451,962,721,398,107,862,2108,862,1011,2189,2798,1985,1438,793,193,39,0,8,0,8,8,8,0,7,0,0
Residential,1,VIS,VISTA HEIGHTS,NORTHEAST,BUILT-OUT,1960s/1970s,2019,,2370,851,240,382,467,110,42,35,197,380,20,0,41,371,0,36,0,0,0,0,0,3,0,1185,1183,106,235,63,52,140,187,155,151,63,33,103,212,58,62,189,195,122,122,74,46,209,447,121,114,329,382,277,273,137,79,0,0,0,0,0,0,0,0,0,0,0
